container 1 cpu percentage,container 1 memory percentage,input container logs,input journal logs,input system logs,output processed logs,output dropped logs,output retried logs,agent restarts,container 2 cpu percentage,container 2 memory percentage,container 3 cpu percentage,container 3 memory percentage,input container logs bytes,input journal logs bytes,input system logs bytes,output processed bytes,status
0.515,2.08,12101,17126,744,29942,0,0,0,0.112,22.6,0.0767,10.1,7880756,13800988,116745,22503919,0
0.543,2.08,14026,17620,744,32399,0,0,0,0.111,22.6,0.0749,10.1,9206807,14416235,116814,24632324,0
0.555,2.08,14077,17883,744,32692,0,0,0,0.111,22.6,0.0755,10.1,9290264,14687635,116814,24952594,0
0.561,2.08,12774,17251,744,30788,0,0,0,0.112,22.6,0.0749,10.1,8483782,13962368,116814,23345063,0
0.53,2.08,10722,16279,744,27831,0,0,0,0.113,22.6,0.0721,10.1,7167953,12793072,116814,20776586,0
0.509,2.07,9618,15776,744,26156,0,0,0,0.112,22.6,0.0705,10.1,6481906,12135608,116814,19288705,0
0.511,2.07,10131,15284,744,26175,0,0,0,0.111,22.6,0.0681,10.1,6674584,11527677,116814,18994280,0
0.502,2.06,9431,15115,744,25274,0,0,0,0.11,22.6,0.0667,10.1,6139603,11302181,116745,18150781,0
0.491,2.07,9890,15212,744,25841,0,0,0,0.11,22.6,0.0658,10.1,6416880,11409568,116745,18593249,0
0.506,2.08,10887,15460,744,27092,0,0,0,0.11,22.6,0.0692,10.1,7058536,11678649,116745,19610722,0
0.504,2.08,11520,15620,744,27893,0,0,0,0.109,22.6,0.0686,10.1,7497618,11841715,116745,20273713,0
0.517,2.09,11801,15661,744,28187,0,0,0,0.108,22.6,0.0707,10.1,7657763,11920779,116745,20520206,0
0.528,2.09,11071,16198,748,27997,0,0,0,0.11,22.6,0.073,10.1,7353373,12533581,117437,20682164,0
0.529,2.09,11863,16334,748,28958,0,0,0,0.11,22.6,0.0733,10.1,7826594,12751937,117437,21489892,0
0.575,2.11,13953,20032,795,34764,0,0,0,0.11,22.6,0.075,10.1,9333349,17268011,124324,27374596,0
